groupTitleContent,EventID,Category,Calendar,Service,Subject
Full Year Drop-Ins 2023/24,00241311,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Drop-In (All Ages) | Chinguacousy Wellness Centre 1:00-2:00pm
Full Year Drop-Ins 2023/24,00241310,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Loafer's Lake 8:00-9:00am
Full Year Drop-Ins 2023/24,00241309,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Adult Swim Drop-In (18+ Years) | Chinguacousy Wellness Centre 1:00-2:00pm
Full Year Drop-Ins 2023/24,00241306,Drop-In and Try-It Programs,Swimming,Drop-In Aquafit,Aquafit Shallow Water Moderate Intensity Drop-In (14+ Years) | Loafer's Lake 8:00-9:00am
Full Year Drop-Ins 2023/24,00240952,Drop-In and Try-It Programs,Swimming,Drop-In Lane Swim,Lane Swim Drop-In ( 6+ Years) | Susan Fennell Sportsplex 11:45AM-12:45PM
Full Year Drop-Ins 2023/24,00240951,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Parent and Child Drop-In (10 Years and Under) | Susan Fennell Sportsplex 11:45AM-12:45PM
Full Year Drop-Ins 2023/24,00240950,Drop-In and Try-It Programs,Swimming,Drop-In Public Swim,Public Swim Parent and Child Drop-In (10 Years and Under) | Susan Fennell Sportsplex 11:30AM-12:30PM
Full Year Drop-Ins 2023/24,00240798,Drop-In and Try-It Programs,Swimming,Drop-In Lane Swim,Lane Swim Drop-In ( 6+ Years) | Susan Fennell Sportsplex 11:45AM-12:45PM
Full Year Drop-Ins 2023/24,00240797,Drop-In and Try-It Programs,Swimming,Drop-In Lane Swim,Lane Swim Drop-In ( 6+ Years) | Susan Fennell Sportsplex 11:30AM-12:30PM
Full Year Drop-Ins 2023/24,00240207,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Free Public Skate Drop-In (All Ages) Sponsored by Tim Horton's | Greenbriar 8:00-8:50pm
Full Year Drop-Ins 2023/24,00240204,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Free Public Skate Drop-In (All Ages) Sponsored by Tim Horton's | Greenbriar 12:00-12:50pm
Full Year Drop-Ins 2023/24,00240199,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Free Public Skate Drop-In (All Ages) Sponsored by Tim Horton's | Greenbriar 8:00-8:50pm
Full Year Drop-Ins 2023/24,00240195,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Free Public Skate Drop-In (All Ages) Sponsored by Tim Horton's | Greenbriar 4:00-4:50pm
Full Year Drop-Ins 2023/24,00229307,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Family Drop-In ( 4+ Years) | Save Max Sports Centre 3:30-5:00pm
Full Year Drop-Ins 2023/24,00229287,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (14 to 17 Years) | Save Max Sports Centre 3:30-5:00pm
Full Year Drop-Ins 2023/24,00229284,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 9:30-11:00pm
Full Year Drop-Ins 2023/24,00229281,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 7:30-9:00pm
Full Year Drop-Ins 2023/24,00229278,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 5:30-7:00pm
Full Year Drop-Ins 2023/24,00229277,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 1:30-3:00pm
Full Year Drop-Ins 2023/24,00229276,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 11:30am-1:00pm
Full Year Drop-Ins 2023/24,00229274,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 9:30-11:00am
Full Year Drop-Ins 2023/24,00229271,Drop-In and Try-It Programs,Sports,Drop-In Cricket,Cricket Indoor Drop-In (18+ Years) | Save Max Sports Centre 7:30-9:00am
Full Year Drop-Ins 2023/24,00215621,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Public Skate Drop-In (All Ages) | Century Gardens 8:15-9:05pm
Full Year Drop-Ins 2023/24,00215619,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Public Skate Drop-In (All Ages) | Century Gardens3:15-4:05pm
Full Year Drop-Ins 2023/24,00215613,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Public Skate Drop-In (All Ages) | Century Gardens 9:00-9:50am
Full Year Drop-Ins 2023/24,00215610,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Public Skate Drop-In (All Ages) | Century Gardens 10:00-10:50am
Full Year Drop-Ins 2023/24,00215608,Drop-In and Try-It Programs,Skating,Drop-In Public Skate,Public Skate Drop-In (All Ages) | Century Gardens 11:00-11:50am
Full Year Drop-Ins 2023/24,00215603,Drop-In and Try-It Programs,Skating,Drop-In Shinny,Shinny Parent and Child Drop-In (10 Years and Under) | Century Gardens 4:15-5:05pm
